id,category,question,answer,keywords
faq_001,tech_support,로그인이 계속 실패합니다,"로그인 문제 해결 방법:
1. 아이디와 비밀번호의 대소문자를 확인해주세요
2. 브라우저의 쿠키 및 캐시를 삭제 후 다시 시도해주세요
3. 지속적인 실패 시 '비밀번호 찾기'를 통해 재설정 바랍니다
4. 소셜 로그인의 경우 해당 플랫폼의 연동 상태를 확인하세요","로그인,실패,접속,오류,소셜로그인"
faq_002,tech_support,결제창이 뜨지 않거나 멈춥니다,"결제 오류 해결 방법:
1. 브라우저의 팝업 차단 설정을 해제해주세요
2. 결제 플러그인(ISP, 앱카드 등)이 최신 버전인지 확인하세요
3. 와이파이보다는 안정적인 유선 인터넷이나 LTE/5G 환경을 권장합니다
4. 다른 브라우저(크롬, 엣지 등)를 사용해 보세요","결제창,오류,멈춤,팝업,결제불가"
faq_003,tech_support,앱 푸시 알림이 오지 않습니다,"알림 설정 확인:
1. 앱 내 설정 > 알림 설정이 'ON'인지 확인하세요
2. 휴대폰 기기 설정 > 알림 > 쇼핑몰 앱의 알림 권한을 허용해주세요
3. 방해금지 모드가 설정되어 있는지 확인 바랍니다","알림,푸시,미도착,설정,권한"
faq_004,tech_support,본인 인증 문자가 오지 않아요,"인증 문자 미수신 대처:
1. 스팸 차단 설정이나 스팸 메시지함을 확인하세요
2. 1588 번호가 차단되어 있는지 확인하세요
3. 통신사 신호 대기 시간이 지연될 수 있으니 1분 후 재시도하세요","인증번호,문자미수신,본인인증,스팸"
faq_005,tech_support,상세페이지 이미지가 깨져서 보입니다,"이미지 오류 해결:
1. 네트워크 연결 상태를 확인하세요
2. 브라우저의 '새로고침'을 눌러보세요
3. 앱을 완전히 종료했다가 다시 실행해 보세요","이미지오류,엑박,안보임,상세페이지"
faq_006,tech_support,간편결제 시 오류가 발생합니다,"간편결제 문제 해결:
1. 해당 간편결제 앱이 최신 버전인지 확인하세요
2. 서비스 점검 시간인지 해당 결제사 공지를 확인하세요
3. 결제 수단에 등록된 카드의 유효기간을 확인하세요","간편결제,페이오류,카카오페이,네이버페이"
faq_007,tech_support,장바구니 상품이 사라졌어요,"장바구니 확인:
1. 로그인 상태를 확인하세요
2. 비회원 장바구니는 브라우저 종료 시 삭제될 수 있습니다
3. 품절된 상품은 자동으로 리스트에서 제외될 수 있습니다","장바구니,상품삭제,사라짐,로그인확인"
faq_008,tech_support,화면 레이아웃이 깨져서 보여요,"화면 출력 최적화:
1. 브라우저의 확대/축소 비율을 100%로 맞추세요
2. 크롬(Chrome) 또는 엣지(Edge) 브라우저 사용을 권장합니다
3. 브라우저를 최신 버전으로 업데이트하세요","화면깨짐,브라우저,PC버전,레이아웃"
faq_009,tech_support,파일 업로드가 되지 않습니다,"업로드 문제 해결:
1. 파일 용량이 5MB 이하인지 확인하세요
2. 지원되는 확장자(JPG, PNG)인지 확인하세요
3. 네트워크 연결이 불안정한지 확인하세요","파일업로드,리뷰등록,용량초과,확장자"
faq_010,tech_support,자동 로그인이 자꾸 풀려요,"자동 로그인 설정:
1. 브라우저의 쿠키 유지 설정을 확인하세요
2. 공유 PC인 경우 보안을 위해 자동 해제될 수 있습니다
3. 앱의 경우 최신 버전으로 업데이트를 진행하세요","자동로그인,로그인해제,쿠키,세션"
faq_011,billing_support,카드 무이자 할부 기준이 어떻게 되나요?,"무이자 할부 안내:
1. 결제 단계의 '카드 혜택' 메뉴에서 확인 가능합니다
2. 매달 카드사 정책에 따라 대상 금액과 기간이 달라집니다
3. 체크카드나 법인카드는 무이자 혜택에서 제외될 수 있습니다","무이자,할부,카드사혜택,할부기간"
faq_012,billing_support,환불받을 계좌를 변경하고 싶어요,"계좌 변경 안내:
1. 마이페이지 > 취소/반품 신청 시 환불 계좌를 입력하세요
2. 이미 처리가 완료된 경우에는 고객센터로 문의 바랍니다
3. 반드시 본인 명의의 계좌만 사용 가능합니다","환불계좌,계좌변경,입금계좌,환불"
faq_013,billing_support,결제 영수증은 어디서 발급받나요?,"영수증 발급 방법:
1. 마이페이지 > 주문내역 > 상세보기를 클릭하세요
2. '영수증 출력' 버튼을 클릭하여 확인하세요
3. 이메일 전송 기능도 제공합니다","영수증,매출전표,출력,증빙"
faq_014,billing_support,카드 결제 시 현금영수증이 발급되나요?,"증빙 서류 안내:
1. 신용카드 결제 시에는 카드 매출전표가 증빙 서류로 대체됩니다
2. 현금성 결제(계좌이체/무통장) 시에만 현금영수증이 발급됩니다
3. 중복 발급은 불가능합니다","현금영수증,카드결제,중복발행,증빙"
faq_015,billing_support,무통장 입금 확인이 안 되고 있어요,"입금 확인 지연 사유:
1. 주문 시 입력한 입금자명과 실제 입금자명이 다른지 확인하세요
2. 결제 금액과 실제 입금액이 1원이라도 다르면 자동 승인이 안 됩니다
3. 입금 후 전산 반영까지 최대 1시간이 소요됩니다","입금확인,무통장,미승인,입금자명"
faq_016,billing_support,적립금과 쿠폰을 동시에 쓸 수 있나요?,"중복 사용 안내:
1. 대부분의 상품에서 적립금과 쿠폰 동시 사용이 가능합니다
2. 단, 특정 할인 상품이나 일부 쿠폰은 중복 사용이 제한됩니다
3. 결제 페이지의 최종 할인 내역을 확인하세요","중복사용,적립금,쿠폰적용,할인"
faq_017,billing_support,결제 완료 후 옵션을 변경하고 싶어요,"옵션 변경 안내:
1. 결제 완료 후에는 시스템상 직접 옵션 변경이 불가합니다
2. '상품 준비 중' 이전 단계에서 취소 후 재주문해 주세요
3. 배송이 시작된 후에는 교환 신청을 하셔야 합니다","옵션변경,결제완료,재주문,수정"
faq_018,billing_support,이중 결제가 된 것 같아요,"이중 결제 대처:
1. 동일 주문에 대해 이중 결제 확인 시 3-5일 내 자동 취소됩니다
2. 카드사 결제 내역을 먼저 확인해 주세요
3. 빠른 확인이 필요하면 주문번호와 함께 문의 주세요","이중결제,중복결제,취소요청,결제오류"
faq_019,billing_support,부분 취소 시 배송비는 어떻게 되나요?,"배송비 정산 안내:
1. 남은 상품 금액이 무료배송 기준 미만일 경우 배송비가 차감됩니다
2. 반품 시에는 상황에 따라 왕복 배송비가 발생할 수 있습니다
3. 정확한 환불 금액은 취소 내역에서 확인 가능합니다","부분취소,배송비차감,환불금액,무료배송"
faq_020,billing_support,가상계좌 입금 기한이 지났습니다,"기한 만료 대처:
1. 기한이 지난 계좌로는 입금이 불가능합니다
2. 주문 내역에서 해당 주문을 취소하고 다시 주문해 주세요
3. 재결제 시 새로운 가상계좌를 발급받아야 합니다","가상계좌,입금기한,기한만료,재발급"
faq_021,order_management,배송지 주소를 잘못 입력했어요,"배송지 변경 안내:
1. '상품 준비 중' 단계까지만 직접 수정 가능합니다
2. '배송 준비 중' 이후에는 출고 작업으로 인해 수정이 불가합니다
3. 이미 발송된 경우 택배사 앱을 통해 변경을 시도하세요","주소오류,배송지변경,수정,출고전"
faq_022,order_management,주문한 상품은 언제 도착하나요?,"배송 일정 안내:
1. 평일 오후 2시 이전 주문 시 당일 출고됩니다
2. 출고 후 평균 1~3 영업일 이내 수령 가능합니다
3. 기상 악화나 택배사 사정에 따라 지연될 수 있습니다","배송조회,도착일정,언제오나요,배송기간"
faq_023,order_management,배송 추적 위치가 업데이트되지 않아요,"추적 지연 안내:
1. 택배사에서 물건을 수거한 후 전산 등록에 시간이 걸립니다
2. 늦은 저녁이나 다음 날 오전부터 상세 조회가 가능합니다
3. 명절 등 물량 급증 시 전산 반영이 늦어질 수 있습니다","배송조회,위치확인,송장조회,미등록"
faq_024,order_management,받은 상품이 파손되어 있습니다,"파손 상품 접수:
1. 즉시 파손 부위와 박스 사진을 촬영해 주세요
2. 고객센터 문의 게시판에 사진과 함께 교환/반품을 접수하세요
3. 파손 건은 배송비를 당사에서 전액 부담합니다","파손,불량,재배송,사진촬영"
faq_025,order_management,구성품이 일부 누락되었습니다,"누락 상품 안내:
1. 먼저 분할 배송 여부를 주문 내역에서 확인하세요
2. 상자 안쪽이나 완충재를 꼼꼼히 확인해 주세요
3. 누락 확인 시 고객센터로 연락 주시면 신속히 재배송합니다","누락,구성품,미도착,재배송"
